ASV silva_kingdom silva_phylum silva_class silva_order silva_family silva_genus silva_species_single silva_species_multiple rdp_kingdom rdp_phylum rdp_class rdp_order rdp_family rdp_genus rdp_species_single rdp_species_multiple decipher_domain decipher_phylum decipher_class decipher_order decipher_family decipher_genus decipher_species
ASV_16S_00012 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae "Candidatus Koribacter" NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae "Candidatus Koribacter" NA
ASV_16S_00013 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae ADurb.Bin063-1 NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae ADurb.Bin063-1 NA
ASV_16S_00014 Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae "Candidatus Solibacter" NA NA Bacteria Acidobacteria Acidobacteria_Gp3 Candidatus_Solibacter NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae "Candidatus Solibacter" NA
ASV_16S_00015 Bacteria Actinobacteriota Thermoleophilia Gaiellales NA NA NA NA Bacteria Actinobacteria Thermoleophilia NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00016 Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae "Clostridium sensu stricto 13" NA algoriphilum/bowmanii/estertheticum/frigoriphilum/frigoris Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae_1 Clostridium_sensu_stricto NA algoriphilum/bowmanii/estertheticum/frigoriphilum/frigoris Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae NA NA
ASV_16S_00017 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae "Candidatus Koribacter" NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae "Candidatus Koribacter" NA
ASV_16S_00018 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae Rhodoferax NA ferrireducens/saidenbachensis Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Rhodoferax NA ferrireducens/saidenbachensis Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_16S_00019 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA NA Bacteria Actinobacteria Thermoleophilia Solirubrobacterales Conexibacteraceae Conexibacter NA NA Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA
ASV_16S_00020 Bacteria Firmicutes Thermacetogenia Thermacetogeniales Thermacetogeniaceae NA NA NA Bacteria Firmicutes Clostridia Thermoanaerobacterales Thermoanaerobacteraceae NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00021 Bacteria Desulfobacterota Syntrophia Syntrophales Smithellaceae Smithella NA NA Bacteria Proteobacteria Deltaproteobacteria Syntrophobacterales Syntrophaceae Smithella NA NA Bacteria Desulfobacterota Syntrophia Syntrophales Smithellaceae Smithella NA
ASV_16S_00022 Bacteria Bacteroidota Bacteroidia Sphingobacteriales Lentimicrobiaceae Lentimicrobium NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_00023 Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA NA Bacteria NA NA NA NA NA NA NA Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA
ASV_16S_00024 Bacteria RCP2-54 NA NA NA NA NA NA Bacteria Proteobacteria NA NA NA NA NA NA Bacteria RCP2-54 NA NA NA NA NA
ASV_16S_00025 Bacteria Actinobacteriota Acidimicrobiia NA NA NA NA NA Bacteria Actinobacteria Acidimicrobiia Acidimicrobiales Acidimicrobiaceae NA NA NA Bacteria Actinobacteriota Acidimicrobiia NA NA NA NA
ASV_16S_00028 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Acidipila NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" NA NA
ASV_16S_00029 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA NA Bacteria Acidobacteria Acidobacteria_Gp1 NA NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA
ASV_16S_00030 Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA NA Bacteria NA NA NA NA NA NA NA Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA
ASV_16S_00031 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae Ellin516 NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae Ellin516 NA
ASV_16S_00032 Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae "Candidatus Solibacter" NA NA Bacteria Acidobacteria Acidobacteria_Gp3 Candidatus_Solibacter NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae "Candidatus Solibacter" NA
ASV_16S_00033 Bacteria Bacteroidota Ignavibacteria Ignavibacteriales NA NA NA NA Bacteria Ignavibacteriae Ignavibacteria Ignavibacteriales Ignavibacteriaceae Ignavibacterium NA NA Bacteria Bacteroidota Ignavibacteria Ignavibacteriales NA NA NA
ASV_16S_00034 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA
ASV_16S_00035 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae "Candidatus Koribacter" NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae "Candidatus Koribacter" NA
ASV_16S_00036 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae ADurb.Bin063-1 NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae ADurb.Bin063-1 NA
ASV_16S_00037 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA
ASV_16S_00038 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Pseudolabrys NA NA Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Pseudolabrys NA NA Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Pseudolabrys NA
ASV_16S_00039 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae "Candidatus Koribacter" NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae "Candidatus Koribacter" NA
ASV_16S_00040 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae "Candidatus Koribacter" NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae "Candidatus Koribacter" NA
ASV_16S_00041 Bacteria Desulfobacterota Syntrophia Syntrophales Smithellaceae Smithella NA NA Bacteria Proteobacteria Deltaproteobacteria Syntrophobacterales Syntrophaceae Smithella NA NA Bacteria Desulfobacterota Syntrophia Syntrophales Smithellaceae Smithella NA
ASV_16S_00042 Bacteria Bacteroidota Bacteroidia Bacteroidales Paludibacteraceae Paludibacter NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales Paludibacteraceae Paludibacter NA NA Bacteria Bacteroidota Bacteroidia Bacteroidales Paludibacteraceae Paludibacter NA
ASV_16S_00043 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Gallionellaceae NA NA NA Bacteria Proteobacteria Betaproteobacteria Nitrosomonadales Gallionellaceae Sideroxydans NA NA Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Gallionellaceae Gallionella NA
ASV_16S_00044 Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA NA Bacteria NA NA NA NA NA NA NA Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA
ASV_16S_00045 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA NA Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium NA NA Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_16S_00046 Bacteria Acidobacteriota Acidobacteriae Paludibaculum NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp3 Gp3 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae NA NA Paludibaculum NA
ASV_16S_00047 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Nocardiaceae NA NA NA Bacteria Actinobacteria Actinobacteria Mycobacteriales Nocardiaceae NA NA NA Bacteria Actinobacteriota Actinobacteria Corynebacteriales Nocardiaceae Nocardia NA
ASV_16S_00048 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00049 Bacteria Actinobacteriota Acidimicrobiia NA NA NA NA NA Bacteria Actinobacteria Acidimicrobiia Acidimicrobiales Acidimicrobiaceae NA NA NA Bacteria Actinobacteriota Acidimicrobiia NA NA NA NA
ASV_16S_00050 Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA NA Bacteria NA NA NA NA NA NA NA Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA
ASV_16S_00052 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00053 Bacteria Acidobacteriota Holophagae "Subgroup 7" NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp7 Gp7 NA NA NA NA Bacteria Acidobacteriota Holophagae "Subgroup 7" NA NA NA
ASV_16S_00054 Bacteria Acidobacteriota Holophagae Holophagales Holophagaceae Geothrix fermentans fermentans Bacteria Acidobacteria Holophagae Holophagales Holophagaceae Geothrix fermentans fermentans Bacteria Acidobacteriota Holophagae Holophagales Holophagaceae Geothrix NA
ASV_16S_00055 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA NA Bacteria Acidobacteria Acidobacteria_Gp1 NA NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA
ASV_16S_00056 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae NA NA NA Bacteria Bacteroidetes Chitinophagia Chitinophagales Chitinophagaceae NA NA NA Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae NA NA
ASV_16S_00057 Bacteria Desulfobacterota Desulfuromonadia Geobacterales Geobacteraceae NA NA NA Bacteria Proteobacteria Deltaproteobacteria Desulfuromonadales Geobacteraceae Geobacter NA NA Bacteria Desulfobacterota Desulfuromonadia Geobacterales NA NA NA
ASV_16S_00058 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Granulicella paludicola paludicola Bacteria Acidobacteria Acidobacteria_Gp1 Granulicella NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Granulicella NA
ASV_16S_00059 Bacteria Bacteroidota Bacteroidia Bacteroidales Prolixibacteraceae BSV13 NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales NA NA NA NA Bacteria Bacteroidota Bacteroidia Bacteroidales Prolixibacteraceae BSV13 NA
ASV_16S_00060 Bacteria Chloroflexi KD4-96 NA NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp16 Gp16 NA NA NA NA Bacteria Chloroflexi KD4-96 NA NA NA NA
ASV_16S_00061 Bacteria Chloroflexi KD4-96 NA NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp16 Gp16 NA NA NA NA Bacteria Chloroflexi KD4-96 NA NA NA NA
ASV_16S_00062 Bacteria Bacteroidota Bacteroidia Bacteroidales Prolixibacteraceae BSV13 NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales NA NA NA NA Bacteria Bacteroidota Bacteroidia Bacteroidales NA NA NA
ASV_16S_00063 Bacteria Firmicutes Clostridia Oscillospirales Hungateiclostridiaceae NA NA NA Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae NA NA NA Bacteria Firmicutes NA NA NA NA NA
ASV_16S_00064 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae NA NA NA NA
ASV_16S_00065 Bacteria Desulfobacterota Syntrophia Syntrophales Smithellaceae Smithella NA NA Bacteria Proteobacteria Deltaproteobacteria Syntrophobacterales Syntrophaceae Smithella NA NA Bacteria Desulfobacterota Syntrophia Syntrophales Smithellaceae Smithella NA
ASV_16S_00066 Bacteria Firmicutes Negativicutes Veillonellales-Selenomonadales Sporomusaceae NA NA NA Bacteria Firmicutes Negativicutes Selenomonadales Sporomusaceae NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00067 Bacteria Actinobacteriota Thermoleophilia Gaiellales NA NA NA NA Bacteria Actinobacteria Thermoleophilia Gaiellales Gaiellaceae Gaiella NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00068 Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA NA Bacteria NA NA NA NA NA NA NA Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA
ASV_16S_00069 Bacteria Desulfobacterota Desulfuromonadia Geobacterales Geobacteraceae Geobacter NA NA Bacteria Proteobacteria Deltaproteobacteria Desulfuromonadales Geobacteraceae Geobacter NA NA Bacteria Desulfobacterota Desulfuromonadia NA NA NA NA
ASV_16S_00070 Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA NA Bacteria NA NA NA NA NA NA NA Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA
ASV_16S_00071 Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA NA Bacteria NA NA NA NA NA NA NA Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA
ASV_16S_00072 Bacteria Acidobacteriota Holophagae "Subgroup 7" NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp7 Gp7 NA NA NA NA Bacteria Acidobacteriota Holophagae "Subgroup 7" NA NA NA
ASV_16S_00073 Bacteria Bacteroidota Bacteroidia Bacteroidales Dysgonomonadaceae NA NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales NA NA NA NA Bacteria Bacteroidota Bacteroidia NA NA NA NA
ASV_16S_00075 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae ADurb.Bin063-1 NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae ADurb.Bin063-1 NA
ASV_16S_00076 Bacteria Bacteroidota Bacteroidia Bacteroidales Dysgonomonadaceae NA NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales NA NA NA NA Bacteria Bacteroidota Bacteroidia Bacteroidales NA NA NA
ASV_16S_00077 Bacteria Verrucomicrobiota Verrucomicrobiae "S-BQ2-57 soil group" NA NA NA NA Bacteria Verrucomicrobia NA NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae "S-BQ2-57 soil group" NA NA NA
ASV_16S_00078 Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA NA Bacteria NA NA NA NA NA NA NA Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA
ASV_16S_00079 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota NA NA NA NA NA
ASV_16S_00080 Bacteria Gemmatimonadota Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae NA NA NA Bacteria Gemmatimonadetes Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae Gemmatimonas NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00081 Bacteria Actinobacteriota Coriobacteriia OPB41 NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria Actinobacteriota Coriobacteriia OPB41 NA NA NA
ASV_16S_00082 Bacteria Bacteroidota Bacteroidia Bacteroidales Paludibacteraceae Paludibacter NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales Paludibacteraceae Paludibacter NA NA Bacteria Bacteroidota Bacteroidia Bacteroidales Paludibacteraceae Paludibacter NA
ASV_16S_00083 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA NA Bacteria Actinobacteria Actinobacteria Streptosporangiales NA NA NA NA Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_16S_00084 Bacteria Actinobacteriota RBG-16-55-12 NA NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria Actinobacteriota RBG-16-55-12 NA NA NA NA
ASV_16S_00085 Bacteria Bacteroidota Bacteroidia Bacteroidales Paludibacteraceae Paludibacter NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales Paludibacteraceae Paludibacter NA NA Bacteria Bacteroidota Bacteroidia Bacteroidales Paludibacteraceae Paludibacter NA
ASV_16S_00086 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Beijerinckiaceae Methylocystis NA NA Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Methylocystaceae Methylocystis NA NA Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Beijerinckiaceae Methylocystis NA
ASV_16S_00087 Bacteria Actinobacteriota Thermoleophilia Gaiellales NA NA NA NA Bacteria Actinobacteria Thermoleophilia Gaiellales Gaiellaceae Gaiella NA NA NA NA NA NA NA NA NA
ASV_16S_00088 Bacteria Proteobacteria Gammaproteobacteria WD260 NA NA NA NA Bacteria Proteobacteria Gammaproteobacteria Nevskiales Steroidobacteraceae Povalibacter NA NA Bacteria Proteobacteria Gammaproteobacteria WD260 NA NA NA
ASV_16S_00089 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00090 Bacteria Firmicutes Clostridia Oscillospirales Hungateiclostridiaceae Saccharofermentans NA NA Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae Saccharofermentans NA NA Bacteria Firmicutes Clostridia NA Hungateiclostridiaceae Saccharofermentans NA
ASV_16S_00091 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00092 Bacteria Firmicutes BRH-c20a NA NA NA NA NA Bacteria Firmicutes NA NA NA NA NA NA Bacteria Firmicutes BRH-c20a NA NA NA NA
ASV_16S_00093 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Nitrosomonadaceae GOUTA6 NA NA Bacteria Proteobacteria Betaproteobacteria Nitrosomonadales Nitrosomonadaceae Nitrosospira NA NA Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Nitrosomonadaceae GOUTA6 NA
ASV_16S_00094 Bacteria NA NA NA NA NA NA NA Bacteria NA NA NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_00095 Bacteria Actinobacteriota Acidimicrobiia NA NA NA NA NA Bacteria Actinobacteria Acidimicrobiia Acidimicrobiales NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_00096 Bacteria Bacteroidota Ignavibacteria Ignavibacteriales NA NA NA NA Bacteria Ignavibacteriae Ignavibacteria Ignavibacteriales Ignavibacteriaceae Ignavibacterium NA NA Bacteria Bacteroidota Ignavibacteria Ignavibacteriales NA NA NA
ASV_16S_00097 Bacteria Acidobacteriota Holophagae "Subgroup 7" NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp7 Gp7 NA NA NA NA Bacteria Acidobacteriota Holophagae "Subgroup 7" NA NA NA
ASV_16S_00098 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA NA Bacteria Acidobacteria Acidobacteria_Gp1 NA NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA
ASV_16S_00099 Bacteria Actinobacteriota Thermoleophilia Gaiellales NA NA NA NA Bacteria Actinobacteria Thermoleophilia Gaiellales Gaiellaceae Gaiella NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00100 Bacteria Desulfobacterota Desulfuromonadia Geobacterales Geobacteraceae Geobacter NA NA Bacteria Proteobacteria Deltaproteobacteria Desulfuromonadales Geobacteraceae Geobacter NA NA Bacteria Desulfobacterota Desulfuromonadia Geobacterales Geobacteraceae Geobacter NA
ASV_16S_00101 Bacteria Chloroflexi KD4-96 NA NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp16 Gp16 NA NA NA NA Bacteria Chloroflexi KD4-96 NA NA NA NA
ASV_16S_00102 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA NA Bacteria Actinobacteria Thermoleophilia Solirubrobacterales Conexibacteraceae Conexibacter NA NA Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_16S_00103 Bacteria Acidobacteriota Holophagae "Subgroup 7" NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp7 Gp7 NA NA NA NA Bacteria Acidobacteriota Holophagae "Subgroup 7" NA NA NA
ASV_16S_00104 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00105 Bacteria Gemmatimonadota Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae Gemmatimonas NA NA Bacteria Gemmatimonadetes Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae Gemmatimonas NA NA Bacteria Gemmatimonadota Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae Gemmatimonas NA
ASV_16S_00106 Bacteria Chloroflexi KD4-96 NA NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp16 Gp16 NA NA NA NA Bacteria Chloroflexi NA NA NA NA NA
ASV_16S_00107 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA NA Bacteria Actinobacteria Thermoleophilia Solirubrobacterales Conexibacteraceae Conexibacter NA NA Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA
ASV_16S_00108 Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA NA Bacteria NA NA NA NA NA NA NA Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA
ASV_16S_00109 Bacteria Actinobacteriota Thermoleophilia Gaiellales NA NA NA NA Bacteria Actinobacteria Thermoleophilia Solirubrobacterales NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00110 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae ADurb.Bin118 NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_00111 Bacteria Bacteroidota Bacteroidia Sphingobacteriales Lentimicrobiaceae Lentimicrobium NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales NA NA NA NA Bacteria Bacteroidota Bacteroidia NA NA NA NA
